statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
21060,uad6dub9bduc554uc13cud130,2008,66,M,Y,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2009,64,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2012,61,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2015,62,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2010,78,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2011,61,M,N,3,4,3,4
21060,uad6dub9bduc554uc13cud130,2013,73,M,Y,5,8,5,8
21060,uad6dub9bduc554uc13cud130,2012,44,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2015,50,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2010,60,M,N,3,5,3,5
21060,uad6dub9bduc554uc13cud130,2011,72,M,Y,2,4,2,4
21060,uad6dub9bduc554uc13cud130,2008,61,F,N,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2017,88,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2015,70,M,N,2,5,2,5
21060,uad6dub9bduc554uc13cud130,2009,79,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2015,61,F,N,3,4,3,4
21060,uad6dub9bduc554uc13cud130,2016,60,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2009,87,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2010,70,F,N,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2016,75,M,Y,4,6,4,6
21060,uad6dub9bduc554uc13cud130,2017,87,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2013,70,M,Y,4,5,4,5
21060,uad6dub9bduc554uc13cud130,2012,52,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2012,75,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2012,74,M,Y,3,5,3,5
21060,uad6dub9bduc554uc13cud130,2014,68,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2013,54,F,N,4,4,2,2
21060,uad6dub9bduc554uc13cud130,2008,67,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2012,66,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2015,71,F,N,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2015,80,F,Y,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2012,79,F,Y,1,4,1,4
21060,uad6dub9bduc554uc13cud130,2014,53,M,N,1,4,1,4
21060,uad6dub9bduc554uc13cud130,2011,63,M,Y,1,5,1,5
21060,uad6dub9bduc554uc13cud130,2013,76,M,Y,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2013,55,F,N,3,3,2,2
21060,uad6dub9bduc554uc13cud130,2015,91,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2017,52,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2015,81,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2009,55,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2013,48,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2013,77,M,N,1,3,1,3
21060,uad6dub9bduc554uc13cud130,2011,53,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2014,61,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2011,74,M,N,4,6,4,6
21060,uad6dub9bduc554uc13cud130,2017,65,M,Y,4,8,4,8
21060,uad6dub9bduc554uc13cud130,2009,69,M,N,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2017,74,F,N,4,4,4,4
21060,uad6dub9bduc554uc13cud130,2017,68,M,Y,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2012,45,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2013,53,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2013,67,M,Y,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2015,45,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2016,78,M,Y,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2010,43,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2014,66,M,Y,4,5,4,5
21060,uad6dub9bduc554uc13cud130,2012,46,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2010,53,M,Y,1,3,1,3
21060,uad6dub9bduc554uc13cud130,2012,74,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,68,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2018,88,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2016,68,F,N,4,5,3,4
21060,uad6dub9bduc554uc13cud130,2011,45,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,79,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,77,M,Y,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2008,85,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,61,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2015,43,F,N,1,1,1,1
