region,age_group,year_2014,year_2015,year_2016,year_2017,year_2018
대구,75 - 79세,14233,14441,15594,17115,18647
대구,80 - 84세,7602,8288,9084,9532,10504
대구,85세 이상,4782,5068,5582,6148,6950
인천,0세,5629,5127,4897,4254,4422
인천,1 - 4세,24692,23349,22076,20880,19420
인천,5 - 9세,32100,30192,29846,28874,27793
인천,10 - 14세,39657,34100,30830,29962,28187
인천,15 - 19세,52503,46841,42380,38366,34746
인천,20 - 24세,53902,51270,48720,46551,42652
인천,25 - 29세,43442,42403,43145,46200,43199
인천,30 - 34세,58461,54673,51942,49985,50717
인천,35 - 39세,63923,62262,62595,63541,66000
인천,40 - 44세,85223,78118,72043,68037,65840
인천,45 - 49세,90405,86137,85572,84878,83077
인천,50 - 54세,91464,87141,82520,80480,80970
인천,55 - 59세,72451,75384,79149,82055,83022
인천,60 - 64세,41424,46278,52071,57168,64480
인천,65 - 69세,29468,30461,30896,33745,36340
인천,70 - 74세,21837,21503,22444,23446,25633
